,Recency,Frequency,Time,Donate_Blood
640,11,8,52,1
709,21,6,48,0
741,23,7,88,0
547,2,3,11,0
230,4,1,4,0
478,23,1,23,0
259,12,12,58,0
419,16,2,26,0
103,2,5,26,0
358,9,2,26,0
35,2,8,28,1
518,3,10,33,1
719,23,8,69,0
596,3,1,3,1
155,2,1,2,0
535,4,5,16,1
423,21,2,23,0
223,4,1,4,0
396,21,2,21,1
444,23,12,86,0
119,2,11,79,1
322,11,4,34,0
235,8,10,63,0
189,4,5,35,1
681,4,2,46,0
90,4,2,4,1
387,14,1,14,0
637,14,7,35,0
740,23,1,23,0
405,14,3,41,0
345,11,1,11,0
728,21,1,21,0
504,0,26,76,1
241,11,22,98,0
534,2,6,26,0
130,4,5,28,0
173,2,1,2,0
520,2,11,40,1
162,2,1,2,0
456,21,1,21,0
159,2,1,2,0
305,11,5,37,1
295,2,4,70,0
669,2,3,75,1
503,2,44,98,0
6,2,7,14,1
265,4,4,43,1
152,4,11,78,0
221,4,1,4,1
392,4,2,59,0
253,11,3,16,1
425,16,5,60,0
33,4,9,26,1
674,16,10,62,0
88,4,2,4,0
204,11,9,38,0
587,2,1,2,0
12,2,10,28,1
639,7,9,89,1
48,2,2,2,0
355,4,2,41,0
366,23,15,57,0
558,14,5,14,0
269,13,4,21,0
94,12,11,23,0
572,2,2,11,1
443,11,3,76,0
180,4,4,26,1
74,2,2,4,1
243,11,17,79,1
81,2,4,16,0
680,20,14,69,1
586,2,1,2,1
54,4,5,14,1
501,6,22,28,1
151,4,6,39,0
574,2,2,11,1
164,2,1,2,1
389,14,7,73,0
290,14,4,23,1
28,4,5,11,1
343,11,1,11,0
206,2,2,16,0
64,2,3,9,1
27,4,12,34,1
363,21,13,57,0
453,21,1,21,0
335,16,3,21,1
140,2,9,74,0
225,4,1,4,1
37,4,6,16,1
275,4,4,46,0
482,23,1,23,0
93,4,2,4,0
483,23,1,23,0
487,23,3,48,0
686,13,7,76,0
727,21,1,21,0
32,4,10,28,1
17,2,15,49,1
544,1,14,95,0
542,4,16,70,1
725,21,1,21,0
247,7,12,86,0
246,11,12,58,0
194,2,2,14,0
699,21,2,21,0
489,21,3,64,0
149,2,2,11,0
370,4,2,51,1
157,2,1,2,0
318,11,9,72,1
376,14,5,50,0
256,16,8,28,0
197,4,6,47,0
177,4,5,33,1
26,4,6,14,0
524,4,9,28,0
308,16,4,23,0
44,4,20,69,1
461,21,1,21,0
193,11,11,42,0
55,4,19,69,1
649,14,8,46,0
449,16,3,50,0
475,26,5,49,1
16,2,14,48,1
195,2,5,47,1
704,16,1,16,0
539,2,2,4,1
62,2,10,49,0
500,2,43,86,1
618,4,1,4,1
480,23,1,23,0
124,2,4,26,0
185,11,9,33,0
372,4,2,52,0
536,2,7,32,1
75,2,2,4,1
553,2,3,14,0
568,4,6,35,1
143,4,3,16,0
139,2,2,11,0
8,2,9,22,1
519,4,10,28,1
136,2,5,37,0
465,21,5,60,0
383,14,1,14,0
714,16,4,58,0
69,1,9,51,0
522,4,13,39,1
633,12,15,71,0
47,2,2,2,0
540,2,6,28,1
115,11,24,64,0
132,2,2,10,0
508,2,21,52,1
281,14,4,22,1
