,alcohol,volatile acidity,total sulfur dioxide,citric acid,quality
0,9.4,0.7,34.0,0.0,5
1,9.8,0.88,67.0,0.0,5
2,9.8,0.76,54.0,0.04,5
3,9.8,0.28,60.0,0.56,6
4,9.4,0.7,34.0,0.0,5
5,9.4,0.66,40.0,0.0,5
6,9.4,0.6,59.0,0.06,5
7,10.0,0.65,21.0,0.0,7
8,9.5,0.58,18.0,0.02,7
9,10.5,0.5,102.0,0.36,5
10,9.2,0.58,65.0,0.08,5
11,10.5,0.5,102.0,0.36,5
12,9.9,0.615,59.0,0.0,5
13,9.1,0.61,29.0,0.29,5
14,9.2,0.62,145.0,0.18,5
15,9.2,0.62,148.0,0.19,5
16,10.5,0.28,103.0,0.56,7
17,9.3,0.56,56.0,0.28,5
18,9.0,0.59,29.0,0.08,4
19,9.2,0.32,56.0,0.51,6
20,9.4,0.22,60.0,0.48,6
21,9.7,0.39,71.0,0.31,5
22,9.5,0.43,37.0,0.21,5
23,9.4,0.49,67.0,0.11,5
24,9.7,0.4,40.0,0.14,6
25,9.3,0.39,23.0,0.16,5
26,9.5,0.41,11.0,0.24,5
27,9.5,0.43,37.0,0.21,5
28,9.4,0.71,35.0,0.0,5
29,9.8,0.645,16.0,0.0,6
30,10.1,0.675,82.0,0.07,5
31,10.6,0.685,37.0,0.0,6
32,9.8,0.655,113.0,0.12,5
33,9.4,0.605,83.0,0.12,6
34,9.2,0.32,50.0,0.25,5
35,9.6,0.645,18.0,0.0,6
36,10.8,0.6,15.0,0.14,6
37,9.7,0.38,30.0,0.28,7
38,9.8,1.13,19.0,0.09,4
39,10.5,0.45,87.0,0.36,5
40,10.5,0.45,87.0,0.36,5
41,9.3,0.61,46.0,0.3,4
42,10.5,0.49,14.0,0.2,6
43,10.3,0.66,23.0,0.22,5
44,9.5,0.67,11.0,0.02,5
45,13.1,0.52,65.0,0.15,4
46,9.2,0.935,114.0,0.43,5
47,9.5,0.29,37.0,0.52,5
48,9.2,0.4,12.0,0.23,5
49,9.2,0.31,96.0,0.37,5
50,9.2,0.66,23.0,0.26,5
51,9.4,0.52,15.0,0.04,6
52,9.4,0.5,14.0,0.04,6
53,9.4,0.38,119.0,0.36,5
54,10.2,0.51,73.0,0.15,6
55,9.5,0.62,45.0,0.04,5
56,9.6,0.42,10.0,0.57,5
57,9.4,0.63,110.0,0.12,5
58,10.0,0.59,54.0,0.18,5
59,9.4,0.39,46.0,0.31,6
60,9.2,0.4,52.0,0.4,5
61,9.3,0.69,112.0,0.49,5
62,9.5,0.52,35.0,0.16,7
63,9.8,0.735,54.0,0.05,5
64,10.9,0.725,11.0,0.05,5
65,10.9,0.725,11.0,0.05,5
66,9.6,0.52,39.0,0.11,5
67,10.7,0.705,15.0,0.07,5
68,10.7,0.32,65.0,0.57,5
69,10.5,0.705,19.0,0.05,6
70,9.5,0.63,27.0,0.08,6
71,9.5,0.67,96.0,0.23,5
72,9.5,0.69,94.0,0.22,5
73,9.2,0.675,43.0,0.26,4
74,9.6,0.32,83.0,0.54,5
75,10.5,0.41,42.0,0.64,5
76,10.5,0.41,42.0,0.64,5
77,10.7,0.785,30.0,0.0,6
78,10.1,0.75,80.0,0.12,5
79,9.1,0.625,119.0,0.2,4
80,9.2,0.45,15.0,0.2,5
81,9.4,0.43,67.0,0.7,5
82,9.1,0.5,73.0,0.47,5
83,9.4,0.67,51.0,0.26,5
84,10.3,0.3,61.0,0.48,6
85,10.1,0.55,40.0,0.15,5
86,9.9,0.49,136.0,0.28,6
87,9.6,0.49,31.0,0.26,5
88,9.5,0.39,125.0,0.44,5
89,9.0,0.62,24.0,0.08,5
90,9.5,0.52,140.0,0.26,5
91,9.9,0.49,136.0,0.28,6
92,9.8,0.49,133.0,0.29,5
93,9.6,0.49,31.0,0.26,5
94,10.5,1.02,85.0,0.04,4
95,12.9,0.6,106.0,0.17,6
96,10.7,0.775,23.0,0.0,5
